,COM,NAME,POP_15
9,01011,Apremont_0,390
23,01027,Balan_0,2997
26,01030,Beauregard_0,889
35,01039,Béon_0,475
38,01042,Bey_0,271
55,01061,Brens_0,1171
56,01062,Bressolles_0,871
57,01063,Brion_0,515
62,01068,Cerdon_0,779
82,01090,Châtenay_0,334
98,01106,Cize_0,171
104,01112,Condamine_0,415
118,01129,Crans_0,267
127,01141,Cuzieu_0,425
130,01144,Dommartin_0,886
142,01156,Faramans_0,797
184,01206,Lantenay_0,267
185,01207,Lapeyrouse_0,332
189,01211,Lent_0,1427
222,01249,Miribel_0,9574
226,01255,Montagnieu_0,598
263,01298,Plagne_0,124
272,01308,Pougny_0,817
286,01328,Romans_0,597
289,01331,Saint-Alban_0,175
297,01339,Saint-Bernard_0,1436
299,01342,Sainte-Croix_0,559
306,01349,Saint-Éloi_0,451
307,01350,Saint-Étienne-du-Bois_0,2532
320,01363,Saint-Jean-le-Vieux_0,1663
326,01369,Saint-Just_0,907
328,01371,Saint-Marcel_0,1327
331,01374,Saint-Martin-du-Mont_0,1784
341,01385,Saint-Rémy_0,991
343,01387,Saint-Sulpice_0,234
352,01398,Savigneux_0,1301
355,01401,Sergy_0,2015
359,01405,Servas_0,1224
361,01407,Seyssel_0,990
371,01418,Thil_0,1057
372,01419,Thoiry_0,6161
388,01435,Versonnex_0,2183
397,01446,Villeneuve_0,1461
416,02009,Alaincourt_0,549
417,02010,Allemant_0,172
442,02036,Augy_0,88
447,02041,Autreville_0,816
449,02043,Bagneux_0,71
463,02058,Beaurieux_0,815
466,02061,Becquigny_0,270
467,02062,Belleau_0,138
473,02068,Berlancourt_0,111
493,02088,Bièvres_0,78
501,02097,Boncourt_0,260
522,02119,Brécy_0,346
525,02122,Brie_0,53
541,02138,Buzancy_0,188
545,02142,Castres_0,243
548,02145,Caumont_0,559
559,02157,Chambry_0,831
561,02159,Champs_0,282
566,02165,Charmes_0,1631
576,02175,Chavigny_0,134
599,02198,Clamecy_0,224
603,02203,Coincy_0,1341
625,02225,Courchamps_0,92
627,02227,Courmont_0,137
638,02238,Crépy_0,1901
653,02254,Cutry_0,125
672,02273,Dury_0,214
676,02277,Épagny_0,334
679,02280,Épieds_0,384
689,02291,Estrées_0,412
695,02297,Étrépilly_0,107
699,02302,Faverolles_0,308
700,02303,Fayet_0,675
708,02311,Filain_0,131
709,02312,La Flamengrie_0,1166
712,02316,Fleury_0,138
718,02322,Fontaine-Notre-Dame_0,396
720,02324,Fontenelle_0,271
721,02326,Fontenoy_0,494
726,02331,Franqueville_0,120
728,02333,Fresnes_0,159
738,02343,Germaine_0,79
741,02347,Gland_0,454
745,02352,Gouy_0,569
749,02356,Grisolles_0,236
762,02370,Hargicourt_0,587
768,02376,Hauteville_0,164
788,02397,Jussy_0,1232
789,02398,Juvigny_0,278
797,02406,Landricourt_0,140
822,02431,Liez_0,409
833,02444,Lugny_0,104
848,02459,Marcy_0,183
859,02470,Martigny_0,428
864,02475,Menneville_0,449
876,02488,Molain_0,152
886,02498,Montaigu_0,754
890,02502,Montcornet_0,1384
893,02505,Montfaucon_0,202
910,02522,Mont-Saint-Jean_0,67
911,02523,Mont-Saint-Martin_0,77
913,02525,Morcourt_0,579
916,02528,Mortefontaine_0,241
917,02529,Mortiers_0,192
918,02530,Moulins_0,77
940,02552,Neuvillette_0,187
953,02565,Œuilly_0,289
954,02566,Ognes_0,1150
957,02569,Oisy_0,467
961,02573,Orgeval_0,65
974,02586,Parfondeval_0,142
987,02600,Pierrepont_0,401
991,02605,Pleine-Selve_0,163
996,02610,Pommiers_0,607
1021,02637,Remaucourt_0,305
1023,02639,Remigny_0,364
1033,02650,Rocquigny_0,368
1037,02654,Romery_0,88
1038,02655,Ronchères_0,114
1042,02659,Rouvroy_0,516
1053,02671,Saint-Aubin_0,302
1056,02674,Saint-Clément_0,54
1057,02675,Sainte-Croix_1,123
1059,02677,Saint-Eugène_0,244
1060,02678,Sainte-Geneviève_0,77
1064,02682,Saint-Mard_0,109
1066,02684,Saint-Michel_0,3476
1071,02689,Saint-Pierremont_0,46
1075,02694,Saint-Simon_0,621
1077,02696,Saint-Thomas_0,85
1085,02705,La Selve_0,218
1092,02712,Sergy_1,157
1109,02729,Soucy_0,102
1137,02757,Vadencourt_0,561
1167,02788,Versigny_0,475
1187,02808,Villeret_0,305
1191,02813,Villers-le-Sec_0,289
1220,03009,Aubigny_0,140
1225,03014,Avrilly_0,136
1226,03015,Bagneux_1,319
1240,03029,Billy_0,802
1245,03034,Boucé_0,520
1251,03040,Bressolles_1,1081
1253,03042,Le Breuil_0,539
1258,03047,La Celle_0,415
1259,03048,Cérilly_0,1316
1267,03056,La Chapelle_0,375
1269,03058,Chappes_0,212
1272,03061,Charmes_1,400
1273,03062,Charroux_0,367
1279,03068,Châtelus_0,115
1280,03069,Châtillon_0,317
1284,03073,Chemilly_0,633
1292,03081,Colombier_0,332
1309,03098,Désertines_0,4353
1311,03100,Diou_0,1404
1322,03111,Estivareilles_0,1110
1336,03126,Hauterive_0,1194
1355,03145,Lignerolles_0,754
1369,03160,Marcenat_0,382
1371,03162,Marigny_0,197
1380,03171,Mercy_0,264
1384,03175,Monestier_0,299
1399,03190,Moulins_1,19697
1400,03191,Murat_0,295
1403,03194,Naves_0,110
1408,03200,Neuvy_0,1596
1413,03205,Périgny_0,454
1416,03208,Le Pin_0,403
1421,03213,Reugny_0,253
1422,03214,Rocles_0,386
1425,03217,Saint-Angel_0,747
1430,03222,Saint-Caprais_0,87
1431,03223,Saint-Christophe_0,481
1432,03224,Saint-Clément_1,318
1440,03232,Saint-Félix_0,332
1441,03233,Saint-Genest_0,402
