,COM,NAME,POP_15,geonameid,Department/feature_code
0,01004,Ambérieu-en-Bugey,14127,6618079.0,ADM4
1,01005,Ambérieux-en-Dombes,1619,6452069.0,ADM4
2,01006,Ambléon,109,6452070.0,ADM4
3,01007,Ambronay,2615,6452071.0,ADM4
4,01008,Ambutrix,747,6452072.0,ADM4
5,01009,Andert-et-Condon,342,6618078.0,ADM4
6,01010,Anglefort,1133,6446361.0,ADM4
7,01012,Aranc,327,6446363.0,ADM4
8,01013,Arandas,153,6446364.0,ADM4
9,01014,Arbent,3392,6446365.0,ADM4
10,01015,Arboys en Bugey,637,6446366.0,ADM4
11,01016,Arbigny,453,6446367.0,ADM4
12,01017,Argis,433,6446368.0,ADM4
13,01019,Armix,24,6446369.0,ADM4
14,01021,Ars-sur-Formans,1370,6446370.0,ADM4
15,01022,Artemare,1210,6446371.0,ADM4
16,01023,Asnières-sur-Saône,64,6446372.0,ADM4
17,01024,Attignat,3328,6454897.0,ADM4
18,01025,Bâgé-la-Ville,3177,6446373.0,ADM4
19,01026,Bâgé-le-Châtel,902,6446374.0,ADM4
20,01028,Baneins,597,6446376.0,ADM4
21,01029,Beaupont,682,6446377.0,ADM4
22,01031,Bellignat,3612,6446378.0,ADM4
23,01032,Béligneux,3300,6446379.0,ADM4
24,01033,Bellegarde-sur-Valserine,11809,6446380.0,ADM4
25,01034,Belley,9058,6446381.0,ADM4
26,01035,Belleydoux,315,6446382.0,ADM4
27,01036,Belmont-Luthézieu,572,6615616.0,ADM4
28,01037,Bénonces,288,6446383.0,ADM4
29,01038,Bény,747,6446384.0,ADM4
30,01040,Béréziat,484,6446386.0,ADM4
31,01041,Bettant,753,6446387.0,ADM4
32,01043,Beynost,4529,6454898.0,ADM4
33,01044,Billiat,601,6446388.0,ADM4
34,01045,Birieux,287,6446389.0,ADM4
35,01046,Biziat,838,6446390.0,ADM4
36,01047,Blyes,1000,6446391.0,ADM4
37,01049,La Boisse,2937,6456642.0,ADM4
38,01050,Boissey,331,6446392.0,ADM4
39,01051,Bolozon,89,6446393.0,ADM4
40,01052,Bouligneux,309,6446394.0,ADM4
41,01053,Bourg-en-Bresse,40819,6446395.0,ADM4
42,01054,Bourg-Saint-Christophe,1284,6446396.0,ADM4
43,01056,Boyeux-Saint-Jérôme,362,6446397.0,ADM4
44,01057,Boz,516,6446398.0,ADM4
45,01058,Brégnier-Cordon,856,6446399.0,ADM4
46,01059,Brénaz,100,6454899.0,ADM4
47,01060,Brénod,536,6446400.0,ADM4
48,01064,Briord,1000,6454900.0,ADM4
49,01065,Buellas,1771,6446402.0,ADM4
50,01066,La Burbanche,71,6456643.0,ADM4
51,01067,Ceignes,256,6446403.0,ADM4
52,01069,Certines,1552,6446404.0,ADM4
53,01071,Cessy,4817,6446405.0,ADM4
54,01072,Ceyzériat,3118,6446406.0,ADM4
55,01073,Ceyzérieu,1016,6446407.0,ADM4
56,01074,Chalamont,2407,6446408.0,ADM4
57,01075,Chaleins,1270,6446409.0,ADM4
58,01076,Chaley,144,6446410.0,ADM4
59,01077,Challes-la-Montagne,189,6454902.0,ADM4
60,01078,Challex,1370,6446411.0,ADM4
61,01079,Champagne-en-Valromey,819,6618076.0,ADM4
62,01080,Champdor-Corcelles,663,6446412.0,ADM4
63,01081,Champfromier,735,6446413.0,ADM4
64,01082,Chanay,640,6446414.0,ADM4
65,01083,Chaneins,881,6446415.0,ADM4
66,01084,Chanoz-Châtenay,804,6446416.0,ADM4
67,01085,La Chapelle-du-Châtelard,383,6456644.0,ADM4
68,01087,Charix,285,6446417.0,ADM4
69,01088,Charnoz-sur-Ain,932,6618075.0,ADM4
70,01089,Château-Gaillard,2053,6446418.0,ADM4
71,01091,Châtillon-en-Michaille,3448,6618073.0,ADM4
72,01092,Châtillon-la-Palud,1566,6446419.0,ADM4
73,01093,Châtillon-sur-Chalaronne,4914,6446420.0,ADM4
74,01094,Chavannes-sur-Reyssouze,748,6446421.0,ADM4
75,01095,Nivigne et Suran,800,6446422.0,ADM4
76,01096,Chaveyriat,1003,6446423.0,ADM4
77,01097,Chavornay,220,6446424.0,ADM4
78,01098,Chazey-Bons,1053,6446425.0,ADM4
79,01099,Chazey-sur-Ain,1516,6618072.0,ADM4
80,01100,Cheignieu-la-Balme,139,6618071.0,ADM4
81,01101,Chevillard,156,6618070.0,ADM4
82,01102,Chevroux,964,6424464.0,ADM4
83,01103,Chevry,1525,6424484.0,ADM4
84,01104,Chézery-Forens,460,6424485.0,ADM4
85,01105,Civrieux,1546,6453497.0,ADM4
86,01107,Cleyzieu,135,6424487.0,ADM4
87,01108,Coligny,1193,6612199.0,ADM4
88,01109,Collonges,2195,6453498.0,ADM4
89,01110,Colomieu,130,6424489.0,ADM4
90,01111,Conand,118,6424490.0,ADM4
91,01113,Condeissiat,830,6424491.0,ADM4
92,01114,Confort,591,6424492.0,ADM4
93,01115,Confrançon,1329,6424493.0,ADM4
94,01116,Contrevoz,503,6424494.0,ADM4
95,01117,Conzieu,146,6424495.0,ADM4
96,01118,Corbonod,1246,6424496.0,ADM4
97,01121,Corlier,111,6424497.0,ADM4
98,01122,Cormaranche-en-Bugey,803,6424498.0,ADM4
99,01123,Cormoranche-sur-Saône,1103,6424499.0,ADM4
100,01124,Cormoz,663,6612200.0,ADM4
101,01125,Corveissiat,622,6424501.0,ADM4
102,01127,Courmangoux,504,6424502.0,ADM4
103,01128,Courtes,301,6618068.0,ADM4
104,01130,Cras-sur-Reyssouze,1431,6424504.0,ADM4
105,01133,Cressin-Rochefort,389,6424505.0,ADM4
106,01134,Crottet,1726,6424506.0,ADM4
107,01135,Crozet,2115,6615619.0,ADM4
108,01136,Cruzilles-lès-Mépillat,832,6424507.0,ADM4
109,01138,Culoz,3071,6424508.0,ADM4
110,01139,Curciat-Dongalon,446,6424509.0,ADM4
111,01140,Curtafond,771,6424510.0,ADM4
112,01142,Dagneux,4573,6424511.0,ADM4
113,01143,Divonne-les-Bains,9286,6424512.0,ADM4
114,01145,Dompierre-sur-Veyle,1161,6424514.0,ADM4
115,01146,Dompierre-sur-Chalaronne,429,6424515.0,ADM4
116,01147,Domsure,480,6424516.0,ADM4
117,01148,Dortan,1845,6612201.0,ADM4
118,01149,Douvres,1058,6424518.0,ADM4
119,01150,Drom,219,6424519.0,ADM4
120,01151,Druillat,1149,6424520.0,ADM4
121,01152,Échallon,762,6615621.0,ADM4
122,01153,Échenevex,2212,6424521.0,ADM4
123,01154,Étrez,820,6424522.0,ADM4
124,01155,Évosges,144,6424523.0,ADM4
125,01157,Fareins,2192,6424524.0,ADM4
126,01158,Farges,999,6453500.0,ADM4
127,01159,Feillens,3249,6424525.0,ADM4
128,01160,Ferney-Voltaire,9482,6615216.0,ADM4
129,01162,Flaxieu,67,6424527.0,ADM4
130,01163,Foissiat,2052,6424528.0,ADM4
131,01165,Francheleins,1548,6424529.0,ADM4
132,01166,Frans,2265,6424530.0,ADM4
133,01167,Garnerans,662,6424531.0,ADM4
134,01169,Genouilleux,590,6424532.0,ADM4
135,01170,Béard-Géovreissiat,1026,6424533.0,ADM4
136,01171,Géovreisset,909,6424534.0,ADM4
137,01173,Gex,11687,6424536.0,ADM4
138,01174,Giron,179,6424537.0,ADM4
139,01175,Gorrevod,854,6424538.0,ADM4
140,01177,Grand-Corent,177,6424539.0,ADM4
141,01179,Grièges,1891,6424540.0,ADM4
