,geonameid,name,asciiname,alternatenames,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date
444,6425856,Sanilhac_0,Sanilhac,"San'jak,Sanijak,sa ni ya ke,Санийак,Саньяк,萨尼亚克",44.5356,4.2506,A,ADM4,FR,,84,7,71,7307,393,,447,Europe/Paris,2016-02-18
522,6446336,Santeuil_0,Santeuil,,49.12556,1.9513900000000002,A,ADM4,FR,,11,95,953,95584,582,,67,Europe/Paris,2016-02-18
532,6448896,Billy_0,Billy,,47.3121,1.5398,A,ADM4,FR,,24,41,413,41016,849,,87,Europe/Paris,2016-02-18
552,6455040,Cassagnoles_0,Cassagnoles,"Cassinholas,Cassinhòlas,Kasanol,Kassan'ol',ka sa ni ao lai,Касањол,Кассаньоль,卡萨尼奥莱",44.0225,4.13056,A,ADM4,FR,,76,30,301,30071,427,,123,Europe/Paris,2016-02-18
567,6614016,Vitrolles_0,Vitrolles,"Vitrol,Vitrol',Vitrola,Vitròla,biteulol,vu~itororu,wei te luo lai,wytrwl  bwsh dw rwn,Витрол,Витроль,Вітроль,ویترول، بوش دو رون,ヴィトロル,维特罗莱,비트롤",43.46,5.24861,A,ADM4,FR,,93,13,134,13117,36117,,136,Europe/Paris,2016-02-18
575,6616576,Savignac_0,Savignac,"Savin'jak,Savinhac,sa wei ni ya ke,Савиньяк,Савіньяк,萨维尼亚克",44.523,-0.1081,A,ADM4,FR,,75,33,333,33508,575,,53,Europe/Paris,2016-02-18
585,6425089,Mortiers_0,Mortiers,"Mort'e,mo er jie,Мортье,Мортьє,莫尔捷",49.68722,3.6680599999999997,A,ADM4,FR,,32,2,22,2529,212,,64,Europe/Paris,2016-02-18
587,6426113,Seraincourt_0,Seraincourt,,49.61083,4.20139,A,ADM4,FR,,44,8,82,8413,242,,110,Europe/Paris,2016-02-18
594,6428417,Saint-Chamant_0,Saint-Chamant,"Sen-Shaman,Sench Amand,sheng sha mang,Сен-Шаман,سینٹ-چمنت، کورریزے,圣沙芒",45.12611,1.89556,A,ADM4,FR,,75,19,192,19192,509,,202,Europe/Paris,2016-02-18
626,6437377,Saint-Gorgon_0,Saint-Gorgon,"Sant-Kogo,Sen-Gorgon,sheng ge er gong,Сен-Горгон,سینٹ-گوریجن، موربیحا,圣戈尔贡",47.64917,-2.23667,A,ADM4,FR,,53,56,563,56216,325,,79,Europe/Paris,2016-02-18
651,6443777,Nonville_0,Nonville,"Nonvil',Нонвиль,Нонвіль",48.282779999999995,2.79278,A,ADM4,FR,,11,77,774,77340,640,,68,Europe/Paris,2016-02-18
662,6446593,Châteaufort_0,Chateaufort,"Chasteufort,Chastèufòrt,Shatofor,sha tuo fu er,Шатофор,沙托福尔",44.27417,6.01611,A,ADM4,FR,,93,4,44,4050,23,,637,Europe/Paris,2016-02-18
677,6451201,Auteuil_0,Auteuil,"Otej,Отей,Отеј",48.840559999999996,1.81722,A,ADM4,FR,,11,78,782,78034,905,,116,Europe/Paris,2016-02-18
684,6454273,Longchamp_0,Longchamp,,48.12806,5.44,A,ADM4,FR,,44,52,521,52291,75,,425,Europe/Paris,2016-02-18
686,6454785,Prades_0,Prades,,43.6131,1.9745,A,ADM4,FR,,76,81,812,81212,146,,232,Europe/Paris,2017-09-08
687,6455041,Chambon_0,Chambon,"Lo Chambon,Shambon,Шамбон",44.30194,4.01806,A,ADM4,FR,,76,30,301,30079,281,,252,Europe/Paris,2016-02-18
698,6613249,Bars_0,Bars,"Bar,Barc,Bars,Barç,ba er,Бар,Барс,巴尔",43.51167,0.29417,A,ADM4,FR,,76,32,323,32030,134,,254,Europe/Paris,2016-02-18
699,6613761,Saint-Pierre-des-Ifs_0,Saint-Pierre-des-Ifs,"Sen-P'er-dez-If,Sen-P'err-dez-If,Sen-Perr-dez-If,sheng pi ye er dai yi fu,Сен-Пьер-дез-Иф,Сен-Пьерр-дез-Иф,Сен-Пєрр-дез-Іф,سین-پیری-دے-افس، کلودوس,圣皮耶尔代伊夫",49.11278,0.1575,A,ADM4,FR,,28,14,143,14648,464,,160,Europe/Paris,2016-02-18
700,6614017,Savigneux_0,Savigneux,"Savin'e,Savin'jo,Savinyo,sa wei ni e,safynyw  ayn,Савиньё,Савіньє,Սավինյո,سافينيو، أين,萨维尼厄",46.00111,4.84778,A,ADM4,FR,,84,1,12,1398,1195,,258,Europe/Paris,2016-02-18
704,6615041,Beaumont-Pied-de-Boeuf,Beaumont-Pied-de-Boeuf,"Beaumont-Pied-de-Boeuf,Beaumont-Pied-de-Bœuf,Bomon Pje de Bef,Bomon-Pe-de-Bef,Бомон Пје де Беф,Бомон-Пє-де-Беф",47.75972,0.40110999999999997,A,ADM4,FR,,52,72,721,72028,495,,100,Europe/Paris,2016-11-29
705,6615809,Perthes_0,Perthes,"Pert,pei er te,Перт,佩尔特",49.4496,4.3514,A,ADM4,FR,,44,8,82,8339,297,,130,Europe/Paris,2016-02-18
706,6616065,Charny_0,Charny,"Sharni,Шарни",47.3364,4.4297,A,ADM4,FR,,27,21,213,21147,33,,461,Europe/Paris,2016-02-18
713,6617857,Saint-Sigismond_0,Saint-Sigismond,,46.35,-0.6895,A,ADM4,FR,,52,85,851,85269,413,,7,Europe/Paris,2016-02-18
731,6429442,Molières_0,Molieres,"Mol'er,Molieras,Molièras,mo li ai,Мольер,Мольєр,莫利埃",44.811,0.8243,A,ADM4,FR,,75,24,241,24273,319,,163,Europe/Paris,2016-02-18
740,6432002,Maupas_0,Maupas,,43.84667,-0.13555999999999999,A,ADM4,FR,,76,32,322,32246,196,,110,Europe/Paris,2016-02-18
757,11548418,Saint-Lucien_0,Saint-Lucien,,49.50905,1.45097,A,ADM4,FR,,28,76,761,76601,0,,179,Europe/Paris,2017-05-12
792,6446338,Seraincourt_1,Seraincourt,"Serenkur,Серенкур",49.03528,1.86722,A,ADM4,FR,,11,95,953,95592,1344,,40,Europe/Paris,2016-02-18
800,6448386,Asques_0,Asques,"Ascas,Ask,a si qu ai,Аск,阿斯屈埃",44.95167,-0.41222,A,ADM4,FR,,75,33,335,33016,477,,32,Europe/Paris,2016-02-18
818,6454274,Maizières_0,Maizieres,,48.49306,5.06694,A,ADM4,FR,,44,52,523,52302,169,,270,Europe/Paris,2016-02-18
822,6455298,Gignac_0,Gignac,"Ginhac,Zhin'jak,Zhinak,ji ni ya ke,Жиньяк,Жињак,吉尼亚克",43.91917,5.526669999999999,A,ADM4,FR,,93,84,841,84048,59,,466,Europe/Paris,2016-02-18
833,6612994,Aujac_0,Aujac,"Ozhak,ao ya ke,Ожак,奥雅克",44.34944,4.01417,A,ADM4,FR,,76,30,301,30022,180,,512,Europe/Paris,2016-02-18
835,6613506,Bussy-la-Pesle_0,Bussy-la-Pesle,"Bjussi-la-Pel',Бюсси-ла-Пель",47.36694,4.705830000000001,A,ADM4,FR,,27,21,212,21121,64,,442,Europe/Paris,2016-02-18
836,6613762,Geay_0,Geay,"Ze,Zhe,re zhen,Же,Ժե,热镇",45.87167,-0.76556,A,ADM4,FR,,75,17,174,17171,668,,25,Europe/Paris,2016-02-18
837,6614274,Givry_0,Givry,"Zhivri,ji fu li,Живри,Живрі,吉夫里",47.51972,3.795,A,ADM4,FR,,27,89,892,89190,181,,146,Europe/Paris,2016-02-18
840,6615810,Sailly_0,Sailly,,49.6116,5.1758,A,ADM4,FR,,44,8,83,8376,233,,162,Europe/Paris,2016-02-18
843,6616578,Sendets_0,Sendets,"Sandets,Sendets,Sendèts,sang dai te,Сандетс,桑代特",44.422779999999996,-0.08861000000000001,A,ADM4,FR,,75,33,333,33511,314,,135,Europe/Paris,2016-02-18
849,6618114,Saint-Sornin_0,Saint-Sornin,"Sant Sornin,Sen-Sornen,sheng suo er nan,Сен-Сорнен,圣索尔南",46.4112,3.0167,A,ADM4,FR,,84,3,32,3260,225,,390,Europe/Paris,2016-02-18
865,6428419,Saint-Clément_0,Saint-Clement,"Sen-Kleman,Sent Clement,sheng ke lai mang,Сен-Клеман,سینٹ-کلیمنٹ، کورریزے,圣克莱芒",45.341390000000004,1.685,A,ADM4,FR,,75,19,192,19194,1250,,435,Europe/Paris,2016-02-18
878,6432003,Meilhan_0,Meilhan,,43.422779999999996,0.68333,A,ADM4,FR,,76,32,321,32250,88,,281,Europe/Paris,2016-02-18
888,6434819,Lavergne_0,Lavergne,,44.79833,1.7602799999999998,A,ADM4,FR,,76,46,463,46165,431,,307,Europe/Paris,2016-02-18
910,6440963,Villefranque_0,Villefranque,"Vil'frank,Vilafranca,wei lai fu lang ke,Вильфранк,Вільфранк,维莱夫朗克",43.5,-0.00528,A,ADM4,FR,,76,65,653,65472,87,,216,Europe/Paris,2016-02-18
918,6443267,Haucourt_0,Haucourt,,49.64083,1.65972,A,ADM4,FR,,28,76,761,76343,259,,228,Europe/Paris,2016-02-18
926,6445315,Nalliers_0,Nalliers,,46.60194,0.86639,A,ADM4,FR,,75,86,862,86175,305,,80,Europe/Paris,2016-02-18
954,6453507,Romans_0,Romans,"Roman,luo mang,rwman,Роман,Ռոման,رومان,罗芒",46.119170000000004,5.02278,A,ADM4,FR,,84,1,12,1328,583,,263,Europe/Paris,2016-02-18
958,6454531,Mont_0,Mont,"Mon,Mont,meng zhen,Мон,Монт,蒙镇",42.81667,0.42833000000000004,A,ADM4,FR,,76,65,652,65317,33,,1299,Europe/Paris,2016-02-18
