,COM,NAME,POP_15,geonameid,name
0,01001,L' Abergement-Clémenciat,767,,
1,01002,L' Abergement-de-Varey,241,,
608,02281,L' Épine-aux-Bois,265,,
1389,04079,L' Escale,1408,,
1400,04095,L' Hospitalet,89,,
1509,05006,L' Argentière-la-Bessée,2307,,
1609,05139,Dévoluy,994,,
1693,06057,L' Escarène,2507,,
2195,08148,L' Écaille,259,,
2196,08149,L' Échelle,131,,
2477,09003,L' Aiguillon,420,,
2586,09138,L' Herm,204,,
2587,09139,L' Hospitalet-près-l'Andorre,89,,
3634,12115,L' Hospitalet-du-Larzac,289,,
4130,14334,L' Hôtellerie,311,,
4720,16166,L' Isle-d'Espagnac,5514,,
5027,17151,L' Éguille,879,,
5055,17190,L' Houmeau,2830,,
5607,19074,L' Église-aux-Bois,57,,
6016,21254,L' Étang-Vergy,213,,
6590,22203,Plœuc-L'Hermitage,4055,,
7617,25215,L' Écouvotte,93,,
7697,25305,L' Hôpital-du-Grosbois,586,,
7698,25306,L' Hôpital-Saint-Lieffroy,108,,
7707,25315,L' Isle-sur-le-Doubs,3078,,
8023,26051,Bézaudun-sur-Bîne,76,,
8553,27309,L' Habit,517,,
8579,27341,L' Hosmes,76,,
9663,2B134,L' Île-Rousse,3159,,
9910,30108,L' Estréchure,163,,
10324,31239,L' Isle-en-Dodon,1677,,
10605,31561,L' Union,11595,,
10772,32157,L' Isle-Arné,178,,
10773,32158,L' Isle-Bouzon,242,,
10774,32159,L' Isle-de-Noé,534,,
11887,35131,L' Hermitage,4227,,
12400,37119,L' Île-Bouchard,1610,,
12549,38004,L' Albenc,1170,,
12697,38193,L' Isle-d'Abeau,16282,,
14070,42092,L' Étrat,2595,,
14084,42108,L' Hôpital-le-Grand,1017,,
14085,42109,L' Hôpital-sous-Rochefort,112,,
14086,42110,L' Horme,4820,,
15111,46138,Cœur de Causse,953,,
15960,50176,L' Étang-Bertrand,339,,
17057,52359,Nully,161,,
17287,53119,L' Huisserie,4182,,
18983,57336,L' Hôpital,5406,,
19644,59011,Annœullin,10407,,
20288,60037,Babœuf,529,,
20988,61206,L' Hôme-Chamondot,269,,
20995,61214,L' Aigle,8053,,
22707,64263,L' Hôpital-d'Orion,147,,
22708,64264,L' Hôpital-Saint-Blaise,75,,
23390,66001,L' Albère,83,,
23965,67405,Rœschwoog,2306,,
24096,67550,Wœrth,1741,,
24106,67560,Zœbersdorf,178,,
24470,69010,L' Arbresle,6360,,
24563,69123,Lyon ,513275,,
25195,71001,L' Abergement-de-Cuisery,770,,
25196,71002,L' Abergement-Sainte-Colombe,1202,,
25385,71233,L' Hôpital-le-Mercier,304,,
26505,75101,Paris 1er Arrondissement,16545,,
26506,75102,Paris 2e Arrondissement,20796,,
26507,75103,Paris 3e Arrondissement,35049,,
26508,75104,Paris 4e Arrondissement,27146,,
26509,75105,Paris 5e Arrondissement,59333,,
26510,75106,Paris 6e Arrondissement,42428,,
26511,75107,Paris 7e Arrondissement,54133,,
26512,75108,Paris 8e Arrondissement,36694,,
26513,75109,Paris 9e Arrondissement,59408,,
26514,75110,Paris 10e Arrondissement,91770,,
26515,75111,Paris 11e Arrondissement,149834,,
26516,75112,Paris 12e Arrondissement,142340,,
26517,75113,Paris 13e Arrondissement,183216,,
26518,75114,Paris 14e Arrondissement,139992,,
26519,75115,Paris 15e Arrondissement,234994,,
26520,75116,Paris 16e Arrondissement,165487,,
26521,75117,Paris 17e Arrondissement,168533,,
26522,75118,Paris 18e Arrondissement,197580,,
26523,75119,Paris 19e Arrondissement,185654,,
26524,75120,Paris 20e Arrondissement,195556,,
26936,76479,Nullemont,138,,
27691,78224,L' Étang-la-Ville,4641,,
27849,79001,L' Absie,947,,
28123,80024,Argœuves,549,,
28327,80263,L' Échelle-Saint-Aurin,53,,
29122,82076,L' Honor-de-Cos,1558,,
29399,84054,L' Isle-sur-la-Sorgue,19483,,
29485,85001,L' Aiguillon-sur-Mer,2121,,
29486,85002,L' Aiguillon-sur-Vie,1918,,
29568,85108,L' Herbergement,3119,,
29570,85110,L' Hermenault,879,,
29571,85111,L' Île-d'Elle,1551,,
29572,85112,L' Île-d'Olonne,2710,,
29573,85113,L' Île-d'Yeu,4771,,
29617,85167,L' Orbrie,804,,
30727,89204,L' Isle-sur-Serein,680,,
31242,93039,L' Île-Saint-Denis,7539,,
31278,94038,L' Haÿ-les-Roses,30736,,
31387,95313,L' Isle-Adam,12249,,
31467,97101,Les Abymes,55306,,
31468,97102,Anse-Bertrand,4881,,
31469,97103,Baie-Mahault,31209,,
31470,97104,Baillif,5739,,
31471,97105,Basse-Terre,10443,,
31472,97106,Bouillante,7282,,
31473,97107,Capesterre-Belle-Eau,18980,,
31474,97108,Capesterre-de-Marie-Galante,3310,,
31475,97109,Gourbeyre,7808,,
31476,97110,La Désirade,1481,,
31477,97111,Deshaies,4114,,
31478,97112,Grand-Bourg,5179,,
31479,97113,Le Gosier,27057,,
31480,97114,Goyave,7569,,
31481,97115,Lamentin,16139,,
31482,97116,Morne-à-l'Eau,17407,,
31483,97117,Le Moule,22329,,
31484,97118,Petit-Bourg,24086,,
31485,97119,Petit-Canal,8167,,
31486,97120,Pointe-à-Pitre,16343,,
31487,97121,Pointe-Noire,6280,,
31488,97125,Saint-François,13841,,
31489,97130,Terre-de-Bas,1060,,
31490,97131,Terre-de-Haut,1601,,
31491,97132,Trois-Rivières,8297,,
31492,97133,Vieux-Fort,1864,,
31493,97134,Vieux-Habitants,7324,,
31494,97201,L' Ajoupa-Bouillon,1902,,
31495,97202,Les Anses-d'Arlet,3737,,
31496,97203,Basse-Pointe,3357,,
31497,97204,Le Carbet,3683,,
31498,97205,Case-Pilote,4458,,
31499,97206,Le Diamant,5976,,
31500,97207,Ducos,17792,,
31501,97208,Fonds-Saint-Denis,790,,
31502,97209,Fort-de-France,82502,,
31503,97210,Le François,17540,,
31504,97211,Grand'Rivière,686,,
31505,97212,Gros-Morne,10100,,
31506,97213,Le Lamentin,40033,,
31507,97214,Le Lorrain,6987,,
31508,97215,Macouba,1087,,
31509,97216,Le Marigot,3307,,
31510,97217,Le Marin,8847,,
31511,97218,Le Morne-Rouge,5093,,
31512,97219,Le Prêcheur,1449,,
31513,97220,Rivière-Pilote,12120,,
31514,97221,Rivière-Salée,12407,,
31515,97222,Le Robert,23139,,
31516,97223,Saint-Esprit,9379,,
31517,97229,Schœlcher,19915,,
31518,97231,Les Trois-Îlets,7648,,
31519,97232,Le Vauclin,9159,,
31520,97233,Le Morne-Vert,1858,,
31521,97301,Régina,946,,
31522,97302,Cayenne,57614,,
31523,97303,Iracoubo,1878,,
31524,97304,Kourou,26221,,
31525,97305,Macouria,11719,,
31526,97306,Mana,10241,,
31527,97307,Matoury,32427,,
31528,97309,Remire-Montjoly,23976,,
31529,97310,Roura,3713,,
31530,97311,Saint-Laurent-du-Maroni,43600,,
31531,97312,Sinnamary,2957,,
31532,97313,Montsinéry-Tonnegrande,2473,,
31533,97314,Ouanary,165,,
31534,97352,Saül,150,,
31535,97353,Maripasoula,11856,,
31536,97356,Camopi,1769,,
31537,97357,Grand-Santi,6969,,
31538,97358,Saint-Élie,95,,
31539,97360,Apatou,8431,,
31540,97361,Awala-Yalimapo,1379,,
31541,97362,Papaichton,7266,,
31542,97401,Les Avirons,11148,,
31543,97402,Bras-Panon,12735,,
31544,97403,Entre-Deux,6781,,
31545,97404,L' Étang-Salé,14330,,
31546,97405,Petite-Île,12143,,
31547,97406,La Plaine-des-Palmistes,6157,,
31548,97408,La Possession,32720,,
31549,97413,Saint-Leu,33701,,
31550,97417,Saint-Philippe,5115,,
31551,97421,Salazie,7384,,
31552,97422,Le Tampon,76310,,
31553,97423,Les Trois-Bassins,7127,,
31554,97424,Cilaos,5350,,
31555,97501,Miquelon-Langlade,606,,
